"2026-08-20 05:30:05",nenden,Hadir,1,selamat
"2026-08-20 05:30:05",nenden,Hadir,1,selamat
"2026-08-20 05:30:05",nenden,Hadir,1,selamat
"2026-08-20 05:39:16",nenden,Hadir,1,selamat
"2026-08-20 05:52:05",nenden,Hadir,1,selamat
"2026-08-20 05:52:51",nenden,Hadir,1,selamat
"2026-08-20 06:04:00",nenden,Hadir,1,selamat
"2026-08-20 06:04:48",nenden,Hadir,1,selamat
"2026-08-20 06:05:40",nenden,Hadir,1,selamat
"2026-08-20 06:07:05",nenden,Hadir,1,selamat
"2026-08-20 06:08:14",nenden,Hadir,1,selamat
"2026-08-20 06:08:55",nenden,Hadir,1,selamat
"2026-08-20 06:10:12",nenden,Hadir,1,selamat
"2026-08-20 06:11:03",nenden,Hadir,1,selamat
"2026-08-20 06:12:09",nenden,Hadir,1,selamat
"2026-08-20 06:12:51",nenden,Hadir,1,selamat
